C1	22.00	36.20	90.00	10Uf	C1206
C2	25.70	28.00	0.00	0.1Uf	C0805
Q1	19.00	22.20	270.00	IRLZ44NSTRLPBF	TO-252
Q11	37.00	45.20	270.00	IRLZ44NSTRLPBF	TO-252
Q13	51.00	45.20	270.00	IRLZ44NSTRLPBF	TO-252
Q15	66.00	45.20	270.00	IRLZ44NSTRLPBF	TO-252
Q17	81.00	45.20	270.00	IRLZ44NSTRLPBF	TO-252
Q19	49.00	66.20	270.00	IRLZ44NSTRLPBF	TO-252
Q21	64.00	66.20	270.00	IRLZ44NSTRLPBF	TO-252
Q23	79.00	66.20	270.00	IRLZ44NSTRLPBF	TO-252
Q3	34.00	22.20	270.00	IRLZ44NSTRLPBF	TO-252
Q5	49.00	22.20	270.00	IRLZ44NSTRLPBF	TO-252
Q7	64.00	22.20	270.00	IRLZ44NSTRLPBF	TO-252
Q9	79.00	22.20	270.00	IRLZ44NSTRLPBF	TO-252
R1	14.50	16.40	90.00	600	R0805
R13	44.30	16.70	90.00	600	R0805
R14	49.00	15.50	180.00	10k	R0805
R15	54.60	15.90	180.00	100	R0805
R19	59.30	16.70	90.00	600	R0805
R2	19.00	15.50	180.00	10k	R0805
R20	64.00	15.50	180.00	10k	R0805
R21	69.60	15.90	180.00	100	R0805
R25	74.30	16.70	90.00	600	R0805
R26	79.00	15.50	180.00	10k	R0805
R27	84.60	15.90	180.00	100	R0805
R3	24.10	16.60	270.00	100	R0805
R31	32.30	39.70	90.00	600	R0805
R32	37.00	38.50	180.00	10k	R0805
R33	41.80	39.40	270.00	100	R0805
R37	46.80	39.50	90.00	600	R0805
R38	51.00	38.50	180.00	10k	R0805
R39	56.60	38.90	180.00	100	R0805
R43	61.30	39.70	90.00	600	R0805
R44	66.00	38.50	180.00	10k	R0805
R45	71.60	38.90	180.00	100	R0805
R49	76.30	39.70	90.00	600	R0805
R50	81.00	38.50	180.00	10k	R0805
R51	86.60	38.90	180.00	100	R0805
R55	44.30	60.70	90.00	600	R0805
R56	49.00	59.50	180.00	10k	R0805
R57	54.30	60.90	270.00	100	R0805
R61	59.30	60.70	90.00	600	R0805
R62	64.00	59.50	180.00	10k	R0805
R63	69.60	59.90	180.00	100	R0805
R67	74.30	60.70	90.00	600	R0805
R68	79.00	59.50	180.00	10k	R0805
R69	84.30	60.60	270.00	100	R0805
R7	29.30	16.70	90.00	600	R0805
R8	34.00	15.50	180.00	10k	R0805
R9	39.60	15.90	180.00	100	R0805
SJ1	23.00	40.00	0.00	SOLDERJUMPERTRACE	SJ_2S-TRACE
U1	27.00	34.00	90.00	LM2937IMP-10	SOT230P700X180-4N
